Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,PMID.Manual,Pair.Source,Pair.Evidence
CHAD_ITGA2,CHAD,chondroadherin,ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,CHAD,ITGA2,,known,literature supported
CHAD_ITGB1,CHAD,chondroadherin,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,CHAD,ITGB1,,known,literature supported
CLCF1_CNTFR,CLCF1,cardiotrophin-like cytokine factor 1,CNTFR,ciliary neurotrophic factor receptor,,,,,,,CLCF1,CNTFR,,known,literature supported
CLCF1_CRLF1,CLCF1,cardiotrophin-like cytokine factor 1,CRLF1,cytokine receptor-like factor 1,,,,,,,CLCF1,CRLF1,,known,literature supported
CLCF1_IL6ST,CLCF1,cardiotrophin-like cytokine factor 1,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",,,,,,,CLCF1,IL6ST,,known,literature supported
CLCF1_LIFR,CLCF1,cardiotrophin-like cytokine factor 1,LIFR,leukemia inhibitory factor receptor alpha,,,,,,,CLCF1,LIFR,,known,literature supported
CLEC11A_KIT,CLEC11A,"C-type lectin domain family 11, member A",KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,,,,,,,CLEC11A,KIT,,known,putative
CLEC3A_CLEC10A,CLEC3A,"C-type lectin domain family 3, member A",CLEC10A,"C-type lectin domain family 10, member A",,,,,,,,CLEC10A,,novel,putative
CLEC3A_CLEC2B,CLEC3A,"C-type lectin domain family 3, member A",CLEC2B,"C-type lectin domain family 2, member B",,,,,,,,,,novel,putative
CNTF_CNTFR,CNTF,ciliary neurotrophic factor,CNTFR,ciliary neurotrophic factor receptor,,,,,,,CNTF,CNTFR,,known,literature supported
CNTF_IL6R,CNTF,ciliary neurotrophic factor,IL6R,interleukin 6 receptor,,,,,,,CNTF,IL6R,,novel,literature supported
CNTF_IL6ST,CNTF,ciliary neurotrophic factor,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",,,,,,,CNTF,IL6ST,,known,literature supported
CNTF_LIFR,CNTF,ciliary neurotrophic factor,LIFR,leukemia inhibitory factor receptor alpha,,,,,,,CNTF,LIFR,,known,literature supported
CNTN2_CNTN1,CNTN2,contactin 2 (axonal),CNTN1,contactin 1,,,,,,,,CNTN1,,novel,literature supported
CNTN2_CNTNAP2,CNTN2,contactin 2 (axonal),CNTNAP2,contactin associated protein-like 2,,,,,,,,,,novel,literature supported
CNTN2_NRCAM,CNTN2,contactin 2 (axonal),NRCAM,neuronal cell adhesion molecule,,,,,,,,,,novel,literature supported
CNTN2_NRP1,CNTN2,contactin 2 (axonal),NRP1,neuropilin 1,,,,,,,,NRP1,,novel,putative
CNTN4_PTPRG,CNTN4,contactin 4,PTPRG,"protein tyrosine phosphatase, receptor type, G",,,,,,,,,20133774,novel,literature supported
COL11A1_DDR1,COL11A1,"collagen, type XI, alpha 1",DDR1,discoidin domain receptor tyrosine kinase 1,,,,,,,,DDR1,,novel,literature supported
COL11A1_ITGA2,COL11A1,"collagen, type XI, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL11A1_ITGB1,COL11A1,"collagen, type XI, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL14A1_CD44,COL14A1,"collagen, type XIV, alpha 1",CD44,CD44 molecule (Indian blood group),,,,,,,,CD44,,novel,literature supported
COL18A1_GPC1,COL18A1,"collagen, type XVIII, alpha 1",GPC1,glypican 1,,,,,,,COL18A1,GPC1,,known,literature supported
COL18A1_GPC4,COL18A1,"collagen, type XVIII, alpha 1",GPC4,glypican 4,,,,,,,COL18A1,,,novel,literature supported
COL18A1_ITGA5,COL18A1,"collagen, type XVIII, alpha 1",ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,COL18A1,ITGA5,,known,literature supported
COL18A1_ITGB1,COL18A1,"collagen, type XVIII, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,COL18A1,ITGB1,,known,literature supported
COL18A1_KDR,COL18A1,"collagen, type XVIII, alpha 1",KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),,,,,,,COL18A1,KDR,,novel,literature supported
COL1A1_CD36,COL1A1,"collagen, type I, alpha 1",CD36,CD36 molecule (thrombospondin receptor),,,,,,,COL1A1,CD36,,novel,literature supported
COL1A1_CD44,COL1A1,"collagen, type I, alpha 1",CD44,CD44 molecule (Indian blood group),,,,,,,COL1A1,CD44,,novel,literature supported
COL1A1_CD93,COL1A1,"collagen, type I, alpha 1",CD93,CD93 molecule,,,,,,,COL1A1,CD93,,novel,literature supported
COL1A1_DDR1,COL1A1,"collagen, type I, alpha 1",DDR1,discoidin domain receptor tyrosine kinase 1,,,,,,,COL1A1,DDR1,,known,literature supported
COL1A1_DDR2,COL1A1,"collagen, type I, alpha 1",DDR2,discoidin domain receptor tyrosine kinase 2,,,,,,,COL1A1,DDR2,,known,literature supported
COL1A1_FLT4,COL1A1,"collagen, type I, alpha 1",FLT4,fms-related tyrosine kinase 4,,,,,,,COL1A1,FLT4,,novel,putative
COL1A1_ITGA1,COL1A1,"collagen, type I, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,COL1A1,ITGA1,,novel,putative
COL1A1_ITGA11,COL1A1,"collagen, type I, alpha 1",ITGA11,"integrin, alpha 11",,,,,,,COL1A1,ITGA11,,known,literature supported
COL1A1_ITGA2,COL1A1,"collagen, type I, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,COL1A1,ITGA2,,known,literature supported
COL1A1_ITGA5,COL1A1,"collagen, type I, alpha 1",ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,COL1A1,ITGA5,,novel,literature supported
COL1A1_ITGAV,COL1A1,"collagen, type I, alpha 1",ITGAV,"integrin, alpha V",,,,,,,COL1A1,ITGAV,,novel,putative
COL1A1_ITGB1,COL1A1,"collagen, type I, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,COL1A1,ITGB1,,known,literature supported
COL1A1_TMPRSS6,COL1A1,"collagen, type I, alpha 1",TMPRSS6,"transmembrane protease, serine 6",,,,,,,COL1A1,,,novel,literature supported
COL1A2_CD36,COL1A2,"collagen, type I, alpha 2",CD36,CD36 molecule (thrombospondin receptor),,,,,,,,CD36,,novel,literature supported
COL1A2_CD44,COL1A2,"collagen, type I, alpha 2",CD44,CD44 molecule (Indian blood group),,,,,,,,CD44,,novel,literature supported
COL1A2_CD93,COL1A2,"collagen, type I, alpha 2",CD93,CD93 molecule,,,,,,,,CD93,,novel,literature supported
COL1A2_FLT4,COL1A2,"collagen, type I, alpha 2",FLT4,fms-related tyrosine kinase 4,,,,,,,,FLT4,,novel,putative
COL1A2_ITGA1,COL1A2,"collagen, type I, alpha 2",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL1A2_ITGA11,COL1A2,"collagen, type I, alpha 2",ITGA11,"integrin, alpha 11",,,,,,,,ITGA11,,novel,putative
COL1A2_ITGA2,COL1A2,"collagen, type I, alpha 2",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,literature supported
COL1A2_ITGA2B,COL1A2,"collagen, type I, alpha 2",ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",,,,,,,,ITGA2B,,novel,literature supported
COL1A2_ITGAV,COL1A2,"collagen, type I, alpha 2",ITGAV,"integrin, alpha V",,,,,,,,ITGAV,,novel,putative
COL1A2_ITGB1,COL1A2,"collagen, type I, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL1A2_ITGB3,COL1A2,"collagen, type I, alpha 2",ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,,,,,,,ITGB3,,novel,literature supported
COL2A1_DDR1,COL2A1,"collagen, type II, alpha 1",DDR1,discoidin domain receptor tyrosine kinase 1,,,,,,,COL2A1,DDR1,,novel,literature supported
COL2A1_ITGA1,COL2A1,"collagen, type II, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,COL2A1,ITGA1,,novel,putative
COL2A1_ITGA10,COL2A1,"collagen, type II, alpha 1",ITGA10,"integrin, alpha 10",,,,,,,COL2A1,ITGA10,,known,literature supported
COL2A1_ITGA2,COL2A1,"collagen, type II, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,COL2A1,ITGA2,,known,literature supported
COL2A1_ITGA2B,COL2A1,"collagen, type II, alpha 1",ITGA2B,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)",,,,,,,COL2A1,ITGA2B,,novel,literature supported
COL2A1_ITGB1,COL2A1,"collagen, type II, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,COL2A1,ITGB1,,known,literature supported
COL2A1_MAG,COL2A1,"collagen, type II, alpha 1",MAG,myelin associated glycoprotein,,,,,,,COL2A1,,,novel,literature supported
COL2A1_OR1E1,COL2A1,"collagen, type II, alpha 1",OR1E1,"olfactory receptor, family 1, subfamily E, member 1",,,,,,,COL2A1,OR1E1,,novel,putative
COL2A1_TNFRSF10A,COL2A1,"collagen, type II, alpha 1",TNFRSF10A,"tumor necrosis factor receptor superfamily, member 10a",,,,,,,COL2A1,TNFRSF10A,,novel,literature supported
COL3A1_DDR1,COL3A1,"collagen, type III, alpha 1",DDR1,discoidin domain receptor tyrosine kinase 1,,,,,,,,DDR1,,novel,literature supported
COL3A1_DDR2,COL3A1,"collagen, type III, alpha 1",DDR2,discoidin domain receptor tyrosine kinase 2,,,,,,,,DDR2,,novel,literature supported
COL3A1_ITGA2,COL3A1,"collagen, type III, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL3A1_ITGB1,COL3A1,"collagen, type III, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL3A1_MAG,COL3A1,"collagen, type III, alpha 1",MAG,myelin associated glycoprotein,,,,,,,,,,novel,literature supported
COL4A1_CD47,COL4A1,"collagen, type IV, alpha 1",CD47,CD47 molecule,,,,,,,COL4A1,CD47,,novel,putative
COL4A1_CD93,COL4A1,"collagen, type IV, alpha 1",CD93,CD93 molecule,,,,,,,COL4A1,CD93,,novel,literature supported
COL4A1_ITGA1,COL4A1,"collagen, type IV, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,COL4A1,ITGA1,,known,literature supported
COL4A1_ITGA2,COL4A1,"collagen, type IV, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,COL4A1,ITGA2,,novel,putative
COL4A1_ITGAV,COL4A1,"collagen, type IV, alpha 1",ITGAV,"integrin, alpha V",,,,,,,COL4A1,ITGAV,14610079,novel,literature supported
COL4A1_ITGB1,COL4A1,"collagen, type IV, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,COL4A1,ITGB1,,known,literature supported
COL4A1_ITGB8,COL4A1,"collagen, type IV, alpha 1",ITGB8,"integrin, beta 8",,,,,,,COL4A1,ITGB8,,known,literature supported
COL4A2_CD93,COL4A2,"collagen, type IV, alpha 2",CD93,CD93 molecule,,,,,,,,CD93,,novel,literature supported
COL4A3_CD47,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",CD47,CD47 molecule,,,,,,,,CD47,10493512,novel,literature supported
COL4A3_CD93,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",CD93,CD93 molecule,,,,,,,,CD93,,novel,literature supported
COL4A3_ITGA1,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL4A3_ITGA2,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL4A3_ITGAV,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGAV,"integrin, alpha V",,,,,,,,ITGAV,12842087,novel,literature supported
COL4A3_ITGB1,COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL4A4_CD47,COL4A4,"collagen, type IV, alpha 4",CD47,CD47 molecule,,,,,,,,CD47,,novel,putative
COL4A4_CD93,COL4A4,"collagen, type IV, alpha 4",CD93,CD93 molecule,,,,,,,,CD93,,novel,literature supported
COL4A4_ITGA1,COL4A4,"collagen, type IV, alpha 4",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL4A4_ITGA2,COL4A4,"collagen, type IV, alpha 4",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL4A4_ITGAV,COL4A4,"collagen, type IV, alpha 4",ITGAV,"integrin, alpha V",,,,,,,,ITGAV,,novel,putative
COL4A4_ITGB1,COL4A4,"collagen, type IV, alpha 4",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL4A5_CD47,COL4A5,"collagen, type IV, alpha 5",CD47,CD47 molecule,,,,,,,,CD47,,novel,putative
COL4A5_CD93,COL4A5,"collagen, type IV, alpha 5",CD93,CD93 molecule,,,,,,,,CD93,,novel,literature supported
COL4A5_ITGA1,COL4A5,"collagen, type IV, alpha 5",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL4A5_ITGA2,COL4A5,"collagen, type IV, alpha 5",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL4A5_ITGAV,COL4A5,"collagen, type IV, alpha 5",ITGAV,"integrin, alpha V",,,,,,,,ITGAV,,novel,putative
COL4A5_ITGB1,COL4A5,"collagen, type IV, alpha 5",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL4A6_CD47,COL4A6,"collagen, type IV, alpha 6",CD47,CD47 molecule,,,,,,,,CD47,,novel,putative
COL4A6_CD93,COL4A6,"collagen, type IV, alpha 6",CD93,CD93 molecule,,,,,,,,CD93,,novel,literature supported
COL4A6_ITGA1,COL4A6,"collagen, type IV, alpha 6",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL4A6_ITGA2,COL4A6,"collagen, type IV, alpha 6",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL4A6_ITGAV,COL4A6,"collagen, type IV, alpha 6",ITGAV,"integrin, alpha V",,,,,,,,ITGAV,,novel,putative
COL4A6_ITGB1,COL4A6,"collagen, type IV, alpha 6",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL5A1_ITGA1,COL5A1,"collagen, type V, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL5A1_ITGB1,COL5A1,"collagen, type V, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL5A1_SDC3,COL5A1,"collagen, type V, alpha 1",SDC3,syndecan 3,,,,,,,,SDC3,,novel,literature supported
COL5A2_DDR1,COL5A2,"collagen, type V, alpha 2",DDR1,discoidin domain receptor tyrosine kinase 1,,,,,,,,DDR1,,novel,literature supported
COL5A2_ITGA1,COL5A2,"collagen, type V, alpha 2",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL5A2_ITGB1,COL5A2,"collagen, type V, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL5A3_SDC3,COL5A3,"collagen, type V, alpha 3",SDC3,syndecan 3,,,,,,,COL5A3,SDC3,,known,literature supported
COL6A1_ITGA1,COL6A1,"collagen, type VI, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL6A1_ITGA2,COL6A1,"collagen, type VI, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL6A1_ITGA6,COL6A1,"collagen, type VI, alpha 1",ITGA6,"integrin, alpha 6",,,,,,,,ITGA6,,novel,putative
COL6A1_ITGB1,COL6A1,"collagen, type VI, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL6A2_ITGA1,COL6A2,"collagen, type VI, alpha 2",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL6A2_ITGA2,COL6A2,"collagen, type VI, alpha 2",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL6A2_ITGB1,COL6A2,"collagen, type VI, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL6A3_ITGA1,COL6A3,"collagen, type VI, alpha 3",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,putative
COL6A3_ITGA2,COL6A3,"collagen, type VI, alpha 3",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL6A3_ITGB1,COL6A3,"collagen, type VI, alpha 3",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL7A1_ITGA2,COL7A1,"collagen, type VII, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,putative
COL7A1_ITGB1,COL7A1,"collagen, type VII, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,,ITGB1,,novel,putative
COL8A1_ITGA1,COL8A1,"collagen, type VIII, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,,ITGA1,,novel,literature supported
COL8A1_ITGA2,COL8A1,"collagen, type VIII, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,,ITGA2,,novel,literature supported
COL9A1_MAG,COL9A1,"collagen, type IX, alpha 1",MAG,myelin associated glycoprotein,,,,,,,,,,novel,literature supported
COL9A2_MAG,COL9A2,"collagen, type IX, alpha 2",MAG,myelin associated glycoprotein,,,,,,,,,,novel,literature supported
COL9A3_MAG,COL9A3,"collagen, type IX, alpha 3",MAG,myelin associated glycoprotein,,,,,,,,,,novel,literature supported
COLQ_MUSK,COLQ,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,MUSK,"muscle, skeletal, receptor tyrosine kinase",,,,,,,,MUSK,,novel,literature supported
CORT_GHSR,CORT,cortistatin,GHSR,growth hormone secretagogue receptor,,,,,,,CORT,GHSR,,known,literature supported
CORT_MRGPRX2,CORT,cortistatin,MRGPRX2,"MAS-related GPR, member X2",,,,,,,CORT,MRGPRX2,,known,literature supported
CORT_SSTR1,CORT,cortistatin,SSTR1,somatostatin receptor 1,,,,,,,CORT,SSTR1,,known,literature supported
CORT_SSTR2,CORT,cortistatin,SSTR2,somatostatin receptor 2,,,,,,,CORT,SSTR2,,known,literature supported
CORT_SSTR3,CORT,cortistatin,SSTR3,somatostatin receptor 3,,,,,,,CORT,SSTR3,,known,literature supported
CORT_SSTR4,CORT,cortistatin,SSTR4,somatostatin receptor 4,,,,,,,CORT,SSTR4,,known,literature supported
CORT_SSTR5,CORT,cortistatin,SSTR5,somatostatin receptor 5,,,,,,,CORT,SSTR5,,known,literature supported
CPAMD8_SCTR,CPAMD8,"C3 and PZP-like, alpha-2-macroglobulin domain containing 8",SCTR,secretin receptor,,,,,,,,SCTR,,novel,literature supported
CP_SLC40A1,CP,ceruloplasmin (ferroxidase),SLC40A1,"solute carrier family 40 (iron-regulated transporter), member 1",,,,,,,,,24921009,novel,literature supported
CRH_CRHR1,CRH,corticotropin releasing hormone,CRHR1,corticotropin releasing hormone receptor 1,,,,,,,CRH,CRHR1,,known,literature supported
CRH_CRHR2,CRH,corticotropin releasing hormone,CRHR2,corticotropin releasing hormone receptor 2,,,,,,,CRH,CRHR2,,known,literature supported
CRH_MC2R,CRH,corticotropin releasing hormone,MC2R,melanocortin 2 receptor (adrenocorticotropic hormone),,,,,,,CRH,MC2R,,known,literature supported
CRP_OLR1,CRP,"C-reactive protein, pentraxin-related",OLR1,oxidized low density lipoprotein (lectin-like) receptor 1,,,,,,,,,21821723,novel,literature supported
CSF1_CSF1R,CSF1,colony stimulating factor 1 (macrophage),CSF1R,colony stimulating factor 1 receptor,,,,,,,CSF1,CSF1R,,known,literature supported
CSF2_CSF1R,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF1R,colony stimulating factor 1 receptor,,,,,,,CSF2,CSF1R,,known,literature supported
CSF2_CSF2RA,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF2RA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",,,,,,,CSF2,CSF2RA,,known,literature supported
CSF2_CSF2RB,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",,,,,,,CSF2,CSF2RB,,known,literature supported
CSF2_CSF3R,CSF2,colony stimulating factor 2 (granulocyte-macrophage),CSF3R,colony stimulating factor 3 receptor (granulocyte),,,,,,,CSF2,CSF3R,,known,literature supported
CSF2_IL3RA,CSF2,colony stimulating factor 2 (granulocyte-macrophage),IL3RA,"interleukin 3 receptor, alpha (low affinity)",,,,,,,CSF2,IL3RA,,novel,literature supported
CSF2_ITGA9,CSF2,colony stimulating factor 2 (granulocyte-macrophage),ITGA9,"integrin, alpha 9",,,,,,,CSF2,ITGA9,,novel,putative
CSF2_ITGB1,CSF2,colony stimulating factor 2 (granulocyte-macrophage),ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,CSF2,ITGB1,,novel,putative
CSF2_SDC2,CSF2,colony stimulating factor 2 (granulocyte-macrophage),SDC2,syndecan 2,,,,,,,CSF2,SDC2,,novel,literature supported
CSF3_CSF1R,CSF3,colony stimulating factor 3 (granulocyte),CSF1R,colony stimulating factor 1 receptor,,,,,,,,CSF1R,,known,literature supported
CSF3_CSF3R,CSF3,colony stimulating factor 3 (granulocyte),CSF3R,colony stimulating factor 3 receptor (granulocyte),,,,,,,,CSF3R,,known,literature supported
CSH1_PRLR,CSH1,chorionic somatomammotropin hormone 1 (placental lactogen),PRLR,prolactin receptor,,,,,,,,PRLR,,known,literature supported
CSH2_PRLR,CSH2,chorionic somatomammotropin hormone 2,PRLR,prolactin receptor,,,,,,,,PRLR,,known,literature supported
CSHL1_GHR,CSHL1,chorionic somatomammotropin hormone-like 1,GHR,growth hormone receptor,,,,,,,,GHR,,novel,putative
CSHL1_PRLR,CSHL1,chorionic somatomammotropin hormone-like 1,PRLR,prolactin receptor,,,,,,,,PRLR,,known,literature supported
CTF1_IL6ST,CTF1,cardiotrophin 1,IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",,,,,,,,IL6ST,,known,literature supported
CTF1_LIFR,CTF1,cardiotrophin 1,LIFR,leukemia inhibitory factor receptor alpha,,,,,,,,LIFR,,known,literature supported
CTGF_ERBB4,CTGF,connective tissue growth factor,ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,,,,,,,CTGF,ERBB4,,novel,literature supported
CTGF_ITGA5,CTGF,connective tissue growth factor,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,,,18167060,novel,literature supported
CTGF_ITGAM,CTGF,connective tissue growth factor,ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)",,,,,,,CTGF,ITGAM,,known,literature supported
CTGF_ITGB2,CTGF,connective tissue growth factor,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,,,,,,CTGF,ITGB2,,known,literature supported
CTGF_LRP1,CTGF,connective tissue growth factor,LRP1,low density lipoprotein receptor-related protein 1,,,,,,,CTGF,LRP1,,novel,literature supported
CTGF_LRP6,CTGF,connective tissue growth factor,LRP6,low density lipoprotein receptor-related protein 6,,,,,,,CTGF,LRP6,,known,literature supported
CTGF_NTRK1,CTGF,connective tissue growth factor,NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",,,,,,,CTGF,NTRK1,15601748,novel,literature supported
CTHRC1_FZD3,CTHRC1,collagen triple helix repeat containing 1,FZD3,frizzled class receptor 3,,,,,,,,,18606138,novel,literature supported
CTHRC1_FZD5,CTHRC1,collagen triple helix repeat containing 1,FZD5,frizzled class receptor 5,,,,,,,,FZD5,18606138,novel,literature supported
CTHRC1_FZD6,CTHRC1,collagen triple helix repeat containing 1,FZD6,frizzled class receptor 6,,,,,,,,FZD6,18606138,novel,literature supported
CUBN_LRP2,CUBN,cubilin (intrinsic factor-cobalamin receptor),LRP2,low density lipoprotein receptor-related protein 2,,,,,,,,LRP2,,novel,literature supported
CX3CL1_CX3CR1,CX3CL1,chemokine (C-X3-C motif) ligand 1,CX3CR1,chemokine (C-X3-C motif) receptor 1,,,,,,,CX3CL1,CX3CR1,,known,literature supported
CXCL10_CCR3,CXCL10,chemokine (C-X-C motif) ligand 10,CCR3,chemokine (C-C motif) receptor 3,,,,,,,CXCL10,CCR3,,known,literature supported
CXCL10_CXCR3,CXCL10,chemokine (C-X-C motif) ligand 10,CXCR3,chemokine (C-X-C motif) receptor 3,,,,,,,CXCL10,CXCR3,,known,literature supported
CXCL10_SDC4,CXCL10,chemokine (C-X-C motif) ligand 10,SDC4,syndecan 4,,,,,,,CXCL10,SDC4,20484822,novel,literature supported
CXCL11_ACKR3,CXCL11,chemokine (C-X-C motif) ligand 11,ACKR3,atypical chemokine receptor 3,,,,,,,CXCL11,CMKOR1,,known,literature supported
CXCL11_CCR3,CXCL11,chemokine (C-X-C motif) ligand 11,CCR3,chemokine (C-C motif) receptor 3,,,,,,,CXCL11,CCR3,,known,literature supported
